"indice_tiempo","provincia_de_destino","pais_de_residencia","destinos_visitados","turistas_no_residentes","pernoctes_no_residentes_en_provincia","pernoctes_no_residentes_en_pais","casos_muestrales","observaciones"
2022-01-01,"Chubut","Europa","Solo resto",38111,0,962045,291,NA
2022-01-01,"Chubut","Paraguay","Provincia y resto",0,0,0,0,NA
2022-01-01,"Chubut","Paraguay","Solo provincia",0,0,0,0,NA
2022-01-01,"Chubut","Paraguay","Solo resto",1311,0,5765,9,NA
2022-01-01,"Chubut","Resto América","Provincia y resto",203,1619,8832,2,NA
2022-01-01,"Chubut","Resto América","Solo provincia",203,6090,6090,2,NA
2022-01-01,"Chubut","Resto América","Solo resto",15787,0,363043,171,NA
2022-01-01,"Chubut","Resto del Mundo","Provincia y resto",0,0,0,0,NA
2022-01-01,"Chubut","Resto del Mundo","Solo provincia",0,0,0,0,NA
2022-01-01,"Chubut","Resto del Mundo","Solo resto",2486,0,44911,10,NA
2022-01-01,"Chubut","Uruguay","Provincia y resto",58,406,522,1,NA
2022-01-01,"Chubut","Uruguay","Solo provincia",0,0,0,0,NA
2022-01-01,"Chubut","Uruguay","Solo resto",404,0,7191,7,NA
2022-01-01,"Cordoba","Bolivia","Provincia y resto",244,2434,6268,4,NA
2022-01-01,"Cordoba","Bolivia","Solo provincia",0,0,0,0,NA
2022-01-01,"Cordoba","Bolivia","Solo resto",3053,0,55160,54,NA
2022-01-01,"Cordoba","Brasil","Provincia y resto",105,2310,2625,1,NA
2022-01-01,"Cordoba","Brasil","Solo provincia",105,315,315,1,NA
2022-01-01,"Cordoba","Brasil","Solo resto",15403,0,210699,144,NA
2022-01-01,"Cordoba","Chile","Provincia y resto",160,800,5120,2,NA
2022-01-01,"Cordoba","Chile","Solo provincia",168,1848,1848,2,NA
2022-01-01,"Cordoba","Chile","Solo resto",8591,0,120787,103,NA
2022-01-01,"Cordoba","EE.UU y Canadá","Provincia y resto",366,3538,7808,3,NA
2022-01-01,"Cordoba","EE.UU y Canadá","Solo provincia",1539,24915,24915,7,NA
2022-01-01,"Cordoba","EE.UU y Canadá","Solo resto",24708,0,534365,167,NA
2022-01-01,"Cordoba","Europa","Provincia y resto",2293,20397,56193,18,NA
2022-01-01,"Cordoba","Europa","Solo provincia",1426,45220,45220,12,NA
2022-01-01,"Cordoba","Europa","Solo resto",35130,0,881462,267,NA
2022-01-01,"Cordoba","Paraguay","Provincia y resto",0,0,0,0,NA
2022-01-01,"Cordoba","Paraguay","Solo provincia",0,0,0,0,NA
2022-01-01,"Cordoba","Paraguay","Solo resto",1311,0,5765,9,NA
2022-01-01,"Cordoba","Resto América","Provincia y resto",1201,5875,23531,14,NA
2022-01-01,"Cordoba","Resto América","Solo provincia",204,3264,3264,2,NA
2022-01-01,"Cordoba","Resto América","Solo resto",14788,0,351170,159,NA
2022-01-01,"Cordoba","Resto del Mundo","Provincia y resto",257,4112,6425,1,NA
2022-01-01,"Cordoba","Resto del Mundo","Solo provincia",0,0,0,0,NA
2022-01-01,"Cordoba","Resto del Mundo","Solo resto",2229,0,38486,9,NA
2022-01-01,"Cordoba","Uruguay","Provincia y resto",0,0,0,0,NA
2022-01-01,"Cordoba","Uruguay","Solo provincia",0,0,0,0,NA
2022-01-01,"Cordoba","Uruguay","Solo resto",462,0,7713,8,NA
2022-01-01,"Corrientes","Bolivia","Provincia y resto",0,0,0,0,NA
2022-01-01,"Corrientes","Bolivia","Solo provincia",0,0,0,0,NA
2022-01-01,"Corrientes","Bolivia","Solo resto",3297,0,61428,58,NA
2022-01-01,"Corrientes","Brasil","Provincia y resto",0,0,0,0,NA
2022-01-01,"Corrientes","Brasil","Solo provincia",0,0,0,0,NA
2022-01-01,"Corrientes","Brasil","Solo resto",15613,0,213639,146,NA
2022-01-01,"Corrientes","Chile","Provincia y resto",0,0,0,0,NA
2022-01-01,"Corrientes","Chile","Solo provincia",0,0,0,0,NA
2022-01-01,"Corrientes","Chile","Solo resto",8919,0,127755,107,NA
2022-01-01,"Corrientes","EE.UU y Canadá","Provincia y resto",122,854,1830,1,NA
2022-01-01,"Corrientes","EE.UU y Canadá","Solo provincia",0,0,0,0,NA
2022-01-01,"Corrientes","EE.UU y Canadá","Solo resto",26491,0,565258,176,NA
2022-01-01,"Corrientes","Europa","Provincia y resto",476,10992,13265,4,NA
2022-01-01,"Corrientes","Europa","Solo provincia",0,0,0,0,NA
2022-01-01,"Corrientes","Europa","Solo resto",38373,0,969610,293,NA
2022-01-01,"Corrientes","Paraguay","Provincia y resto",0,0,0,0,NA
2022-01-01,"Corrientes","Paraguay","Solo provincia",0,0,0,0,NA
2022-01-01,"Corrientes","Paraguay","Solo resto",1311,0,5765,9,NA
2022-01-01,"Corrientes","Resto América","Provincia y resto",0,0,0,0,NA
2022-01-01,"Corrientes","Resto América","Solo provincia",0,0,0,0,NA
2022-01-01,"Corrientes","Resto América","Solo resto",16193,0,377965,175,NA
2022-01-01,"Corrientes","Resto del Mundo","Provincia y resto",0,0,0,0,NA
2022-01-01,"Corrientes","Resto del Mundo","Solo provincia",0,0,0,0,NA
2022-01-01,"Corrientes","Resto del Mundo","Solo resto",2486,0,44911,10,NA
2022-01-01,"Corrientes","Uruguay","Provincia y resto",0,0,0,0,NA
2022-01-01,"Corrientes","Uruguay","Solo provincia",0,0,0,0,NA
2022-01-01,"Corrientes","Uruguay","Solo resto",462,0,7713,8,NA
2022-01-01,"Entre Rios","Bolivia","Provincia y resto",0,0,0,0,NA
2022-01-01,"Entre Rios","Bolivia","Solo provincia",0,0,0,0,NA
2022-01-01,"Entre Rios","Bolivia","Solo resto",3297,0,61428,58,NA
2022-01-01,"Entre Rios","Brasil","Provincia y resto",105,105,210,1,NA
2022-01-01,"Entre Rios","Brasil","Solo provincia",0,0,0,0,NA
2022-01-01,"Entre Rios","Brasil","Solo resto",15508,0,213429,145,NA
2022-01-01,"Entre Rios","Chile","Provincia y resto",360,2520,7200,4,NA
2022-01-01,"Entre Rios","Chile","Solo provincia",0,0,0,0,NA
2022-01-01,"Entre Rios","Chile","Solo resto",8559,0,120555,103,NA
2022-01-01,"Entre Rios","EE.UU y Canadá","Provincia y resto",0,0,0,0,NA
2022-01-01,"Entre Rios","EE.UU y Canadá","Solo provincia",0,0,0,0,NA
2022-01-01,"Entre Rios","EE.UU y Canadá","Solo resto",26613,0,567088,177,NA
2022-01-01,"Entre Rios","Europa","Provincia y resto",475,7296,10108,4,NA
2022-01-01,"Entre Rios","Europa","Solo provincia",475,12199,12199,4,NA
2022-01-01,"Entre Rios","Europa","Solo resto",37899,0,960568,289,NA
2022-01-01,"Entre Rios","Paraguay","Provincia y resto",0,0,0,0,NA
2022-01-01,"Entre Rios","Paraguay","Solo provincia",0,0,0,0,NA
2022-01-01,"Entre Rios","Paraguay","Solo resto",1311,0,5765,9,NA
2022-01-01,"Entre Rios","Resto América","Provincia y resto",101,303,505,1,NA
2022-01-01,"Entre Rios","Resto América","Solo provincia",184,3680,3680,2,NA
2022-01-01,"Entre Rios","Resto América","Solo resto",15908,0,373780,172,NA
2022-01-01,"Entre Rios","Resto del Mundo","Provincia y resto",0,0,0,0,NA
2022-01-01,"Entre Rios","Resto del Mundo","Solo provincia",0,0,0,0,NA
2022-01-01,"Entre Rios","Resto del Mundo","Solo resto",2486,0,44911,10,NA
2022-01-01,"Entre Rios","Uruguay","Provincia y resto",0,0,0,0,NA
2022-01-01,"Entre Rios","Uruguay","Solo provincia",0,0,0,0,NA
2022-01-01,"Entre Rios","Uruguay","Solo resto",462,0,7713,8,NA
2022-01-01,"Formosa","Bolivia","Provincia y resto",0,0,0,0,NA
2022-01-01,"Formosa","Bolivia","Solo provincia",0,0,0,0,NA
2022-01-01,"Formosa","Bolivia","Solo resto",3297,0,61428,58,NA
2022-01-01,"Formosa","Brasil","Provincia y resto",0,0,0,0,NA
2022-01-01,"Formosa","Brasil","Solo provincia",0,0,0,0,NA
2022-01-01,"Formosa","Brasil","Solo resto",15613,0,213639,146,NA
2022-01-01,"Formosa","Chile","Provincia y resto",0,0,0,0,NA
2022-01-01,"Formosa","Chile","Solo provincia",0,0,0,0,NA
2022-01-01,"Formosa","Chile","Solo resto",8919,0,127755,107,NA
2022-01-01,"Formosa","EE.UU y Canadá","Provincia y resto",0,0,0,0,NA
2022-01-01,"Formosa","EE.UU y Canadá","Solo provincia",122,2440,2440,1,NA
2022-01-01,"Formosa","EE.UU y Canadá","Solo resto",26491,0,564648,176,NA
2022-01-01,"Formosa","Europa","Provincia y resto",0,0,0,0,NA
2022-01-01,"Formosa","Europa","Solo provincia",0,0,0,0,NA
2022-01-01,"Formosa","Europa","Solo resto",38849,0,982875,297,NA
2022-01-01,"Formosa","Paraguay","Provincia y resto",0,0,0,0,NA
2022-01-01,"Formosa","Paraguay","Solo provincia",0,0,0,0,NA
2022-01-01,"Formosa","Paraguay","Solo resto",1311,0,5765,9,NA
2022-01-01,"Formosa","Resto América","Provincia y resto",0,0,0,0,NA
2022-01-01,"Formosa","Resto América","Solo provincia",0,0,0,0,NA
2022-01-01,"Formosa","Resto América","Solo resto",16193,0,377965,175,NA
2022-01-01,"Formosa","Resto del Mundo","Provincia y resto",0,0,0,0,NA
2022-01-01,"Formosa","Resto del Mundo","Solo provincia",0,0,0,0,NA
2022-01-01,"Formosa","Resto del Mundo","Solo resto",2486,0,44911,10,NA
2022-01-01,"Formosa","Uruguay","Provincia y resto",0,0,0,0,NA
2022-01-01,"Formosa","Uruguay","Solo provincia",0,0,0,0,NA
2022-01-01,"Formosa","Uruguay","Solo resto",462,0,7713,8,NA
2022-01-01,"Jujuy","Bolivia","Provincia y resto",0,0,0,0,NA
2022-01-01,"Jujuy","Bolivia","Solo provincia",0,0,0,0,NA
2022-01-01,"Jujuy","Bolivia","Solo resto",3297,0,61428,58,NA
2022-01-01,"Jujuy","Brasil","Provincia y resto",0,0,0,0,NA
2022-01-01,"Jujuy","Brasil","Solo provincia",0,0,0,0,NA
2022-01-01,"Jujuy","Brasil","Solo resto",15613,0,213639,146,NA
2022-01-01,"Jujuy","Chile","Provincia y resto",0,0,0,0,NA
2022-01-01,"Jujuy","Chile","Solo provincia",80,1120,1120,1,NA
2022-01-01,"Jujuy","Chile","Solo resto",8839,0,126635,106,NA
2022-01-01,"Jujuy","EE.UU y Canadá","Provincia y resto",713,2141,9154,5,NA
2022-01-01,"Jujuy","EE.UU y Canadá","Solo provincia",0,0,0,0,NA
2022-01-01,"Jujuy","EE.UU y Canadá","Solo resto",25900,0,557934,172,NA
2022-01-01,"Jujuy","Europa","Provincia y resto",475,3870,10906,4,NA
2022-01-01,"Jujuy","Europa","Solo provincia",0,0,0,0,NA
2022-01-01,"Jujuy","Europa","Solo resto",38374,0,971969,293,NA
2022-01-01,"Jujuy","Paraguay","Provincia y resto",0,0,0,0,NA
2022-01-01,"Jujuy","Paraguay","Solo provincia",0,0,0,0,NA
2022-01-01,"Jujuy","Paraguay","Solo resto",1311,0,5765,9,NA
2022-01-01,"Jujuy","Resto América","Provincia y resto",0,0,0,0,NA
2022-01-01,"Jujuy","Resto América","Solo provincia",246,6396,6396,3,NA
2022-01-01,"Jujuy","Resto América","Solo resto",15947,0,371569,172,NA
2022-01-01,"Jujuy","Resto del Mundo","Provincia y resto",0,0,0,0,NA
2022-01-01,"Jujuy","Resto del Mundo","Solo provincia",0,0,0,0,NA
2022-01-01,"Jujuy","Resto del Mundo","Solo resto",2486,0,44911,10,NA
2022-01-01,"Jujuy","Uruguay","Provincia y resto",0,0,0,0,NA
2022-01-01,"Jujuy","Uruguay","Solo provincia",0,0,0,0,NA
2022-01-01,"Jujuy","Uruguay","Solo resto",462,0,7713,8,NA
2022-01-01,"La Pampa","Bolivia","Provincia y resto",0,0,0,0,NA
2022-01-01,"La Pampa","Bolivia","Solo provincia",0,0,0,0,NA
2022-01-01,"La Pampa","Bolivia","Solo resto",3297,0,61428,58,NA
2022-01-01,"La Pampa","Brasil","Provincia y resto",0,0,0,0,NA
2022-01-01,"La Pampa","Brasil","Solo provincia",0,0,0,0,NA
2022-01-01,"La Pampa","Brasil","Solo resto",15613,0,213639,146,NA
2022-01-01,"La Pampa","Chile","Provincia y resto",0,0,0,0,NA
2022-01-01,"La Pampa","Chile","Solo provincia",0,0,0,0,NA
2022-01-01,"La Pampa","Chile","Solo resto",8919,0,127755,107,NA
2022-01-01,"La Pampa","EE.UU y Canadá","Provincia y resto",0,0,0,0,NA
2022-01-01,"La Pampa","EE.UU y Canadá","Solo provincia",244,8540,8540,2,NA
2022-01-01,"La Pampa","EE.UU y Canadá","Solo resto",26369,0,558548,175,NA
2022-01-01,"La Pampa","Europa","Provincia y resto",369,3775,7166,3,NA
2022-01-01,"La Pampa","Europa","Solo provincia",262,5240,5240,2,NA
2022-01-01,"La Pampa","Europa","Solo resto",38218,0,970469,292,NA
2022-01-01,"La Pampa","Paraguay","Provincia y resto",0,0,0,0,NA
2022-01-01,"La Pampa","Paraguay","Solo provincia",0,0,0,0,NA
2022-01-01,"La Pampa","Paraguay","Solo resto",1311,0,5765,9,NA
2022-01-01,"La Pampa","Resto América","Provincia y resto",102,510,2142,1,NA
2022-01-01,"La Pampa","Resto América","Solo provincia",0,0,0,0,NA
2022-01-01,"La Pampa","Resto América","Solo resto",16091,0,375823,174,NA
2022-01-01,"La Pampa","Resto del Mundo","Provincia y resto",0,0,0,0,NA
2022-01-01,"La Pampa","Resto del Mundo","Solo provincia",0,0,0,0,NA
2022-01-01,"La Pampa","Resto del Mundo","Solo resto",2486,0,44911,10,NA
2022-01-01,"La Pampa","Uruguay","Provincia y resto",0,0,0,0,NA
2022-01-01,"La Pampa","Uruguay","Solo provincia",0,0,0,0,NA
2022-01-01,"La Pampa","Uruguay","Solo resto",462,0,7713,8,NA
2022-01-01,"La Rioja","Bolivia","Provincia y resto",0,0,0,0,NA
2022-01-01,"La Rioja","Bolivia","Solo provincia",0,0,0,0,NA
2022-01-01,"La Rioja","Bolivia","Solo resto",3297,0,61428,58,NA
2022-01-01,"La Rioja","Brasil","Provincia y resto",0,0,0,0,NA
2022-01-01,"La Rioja","Brasil","Solo provincia",0,0,0,0,NA
2022-01-01,"La Rioja","Brasil","Solo resto",15613,0,213639,146,NA
2022-01-01,"La Rioja","Chile","Provincia y resto",0,0,0,0,NA
2022-01-01,"La Rioja","Chile","Solo provincia",0,0,0,0,NA
2022-01-01,"La Rioja","Chile","Solo resto",8919,0,127755,107,NA
2022-01-01,"La Rioja","EE.UU y Canadá","Provincia y resto",0,0,0,0,NA
2022-01-01,"La Rioja","EE.UU y Canadá","Solo provincia",860,43000,43000,4,NA
2022-01-01,"La Rioja","EE.UU y Canadá","Solo resto",25753,0,524088,173,NA
2022-01-01,"La Rioja","Europa","Provincia y resto",0,0,0,0,NA
2022-01-01,"La Rioja","Europa","Solo provincia",0,0,0,0,NA
2022-01-01,"La Rioja","Europa","Solo resto",38849,0,982875,297,NA
2022-01-01,"La Rioja","Paraguay","Provincia y resto",0,0,0,0,NA
2022-01-01,"La Rioja","Paraguay","Solo provincia",0,0,0,0,NA
2022-01-01,"La Rioja","Paraguay","Solo resto",1311,0,5765,9,NA
2022-01-01,"La Rioja","Resto América","Provincia y resto",101,505,1111,1,NA
2022-01-01,"La Rioja","Resto América","Solo provincia",0,0,0,0,NA
2022-01-01,"La Rioja","Resto América","Solo resto",16092,0,376854,174,NA
2022-01-01,"La Rioja","Resto del Mundo","Provincia y resto",0,0,0,0,NA
2022-01-01,"La Rioja","Resto del Mundo","Solo provincia",0,0,0,0,NA
2022-01-01,"La Rioja","Resto del Mundo","Solo resto",2486,0,44911,10,NA
2022-01-01,"La Rioja","Uruguay","Provincia y resto",0,0,0,0,NA
2022-01-01,"La Rioja","Uruguay","Solo provincia",0,0,0,0,NA
2022-01-01,"La Rioja","Uruguay","Solo resto",462,0,7713,8,NA
2022-01-01,"Mendoza","Bolivia","Provincia y resto",66,1188,1320,1,NA
2022-01-01,"Mendoza","Bolivia","Solo provincia",0,0,0,0,NA
2022-01-01,"Mendoza","Bolivia","Solo resto",3231,0,60108,57,NA
2022-01-01,"Mendoza","Brasil","Provincia y resto",532,3191,10203,5,NA
2022-01-01,"Mendoza","Brasil","Solo provincia",0,0,0,0,NA
2022-01-01,"Mendoza","Brasil","Solo resto",15081,0,203436,141,NA
2022-01-01,"Mendoza","Chile","Provincia y resto",0,0,0,0,NA
2022-01-01,"Mendoza","Chile","Solo provincia",0,0,0,0,NA
2022-01-01,"Mendoza","Chile","Solo resto",8919,0,127755,107,NA
2022-01-01,"Mendoza","EE.UU y Canadá","Provincia y resto",367,6477,10147,3,NA
2022-01-01,"Mendoza","EE.UU y Canadá","Solo provincia",122,1220,1220,1,NA
2022-01-01,"Mendoza","EE.UU y Canadá","Solo resto",26124,0,555721,173,NA
2022-01-01,"Mendoza","Europa","Provincia y resto",2492,24631,65840,20,NA
2022-01-01,"Mendoza","Europa","Solo provincia",686,27818,27818,6,NA
2022-01-01,"Mendoza","Europa","Solo resto",35671,0,889217,271,NA
2022-01-01,"Mendoza","Paraguay","Provincia y resto",0,0,0,0,NA
2022-01-01,"Mendoza","Paraguay","Solo provincia",0,0,0,0,NA
2022-01-01,"Mendoza","Paraguay","Solo resto",1311,0,5765,9,NA
2022-01-01,"Mendoza","Resto América","Provincia y resto",755,12172,19815,8,NA
2022-01-01,"Mendoza","Resto América","Solo provincia",182,3640,3640,2,NA
2022-01-01,"Mendoza","Resto América","Solo resto",15256,0,354510,165,NA
2022-01-01,"Mendoza","Resto del Mundo","Provincia y resto",257,1799,7710,1,NA
2022-01-01,"Mendoza","Resto del Mundo","Solo provincia",0,0,0,0,NA
2022-01-01,"Mendoza","Resto del Mundo","Solo resto",2229,0,37201,9,NA
2022-01-01,"Mendoza","Uruguay","Provincia y resto",57,1596,1653,1,NA
2022-01-01,"Mendoza","Uruguay","Solo provincia",0,0,0,0,NA
